caseid,task,start_timestamp,end_timestamp,resource
9,A_ACCEPTED,2022-07-06 01:54:44.321,2022-07-06 02:02:20.556,SYSTEM
3,O_ACCEPTED,2022-07-06 00:37:11.692,2022-07-06 02:02:35.361,SYSTEM
11,A_PREACCEPTED,2022-07-06 01:10:02.281,2022-07-06 02:04:27.858,SYSTEM
6,O_SELECTED,2022-07-06 01:56:12.182,2022-07-06 02:09:04.006,SYSTEM
8,A_PREACCEPTED,2022-07-06 01:56:27.627,2022-07-06 02:09:30.96,SYSTEM
8,W_Complete_preaccepted_appl,2022-07-06 02:09:30.96,2022-07-06 02:11:06.449,SYSTEM
6,O_CREATED,2022-07-06 02:09:04.006,2022-07-06 02:18:36.041,SYSTEM
10,W_Complete_preaccepted_appl,2022-07-06 01:48:02.211,2022-07-06 02:25:10.49,SYSTEM
5,A_APPROVED,2022-07-06 01:12:26.481,2022-07-06 02:29:46.615,SYSTEM
10,A_ACCEPTED,2022-07-06 02:25:10.49,2022-07-06 02:29:47.528,SYSTEM
9,A_FINALIZED,2022-07-06 02:02:20.556,2022-07-06 02:37:37.277,SYSTEM
7,A_FINALIZED,2022-07-06 00:19:20.56,2022-07-06 02:43:23.908,SYSTEM
11,W_Complete_preaccepted_appl,2022-07-06 02:04:27.858,2022-07-06 02:51:40.0,SYSTEM
12,Start,2022-07-06 02:51:47.728,2022-07-06 02:51:47.728,SYSTEM
8,A_ACCEPTED,2022-07-06 02:11:06.449,2022-07-06 02:53:05.968,SYSTEM
1,A_ACTIVATED,2022-07-06 01:15:53.139,2022-07-06 02:57:42.497,SYSTEM
1,End,2022-07-06 02:57:42.497,2022-07-06 02:57:42.497,SYSTEM
9,O_SELECTED,2022-07-06 02:37:37.277,2022-07-06 02:58:58.839,SYSTEM
11,A_ACCEPTED,2022-07-06 02:51:40.0,2022-07-06 02:59:23.726,SYSTEM
9,O_CREATED,2022-07-06 02:58:58.839,2022-07-06 03:00:30.112,SYSTEM
7,O_SELECTED,2022-07-06 02:43:23.908,2022-07-06 03:00:50.749,SYSTEM
7,O_CREATED,2022-07-06 03:00:50.749,2022-07-06 03:00:57.138,SYSTEM
5,A_REGISTERED,2022-07-06 02:29:46.615,2022-07-06 03:09:09.658,SYSTEM
5,A_ACTIVATED,2022-07-06 03:09:09.658,2022-07-06 03:17:47.115,SYSTEM
5,End,2022-07-06 03:17:47.115,2022-07-06 03:17:47.115,SYSTEM
8,A_FINALIZED,2022-07-06 02:53:05.968,2022-07-06 03:21:40.065,SYSTEM
7,O_SENT,2022-07-06 03:00:57.138,2022-07-06 03:31:35.956,SYSTEM
13,Start,2022-07-06 03:37:48.965,2022-07-06 03:37:48.965,SYSTEM
7,W_Call_after_offer,2022-07-06 03:31:35.956,2022-07-06 03:39:35.322,SYSTEM
7,O_SENT_BACK,2022-07-06 03:39:35.322,2022-07-06 03:41:51.205,SYSTEM
